id,name,category,default_unit,primary_muscle,secondary_muscles,notes
barbell_rdl,Barbell RDL,Glutes,,Glutes,,
cable_pull_through,Cable Pull-Through,Glutes,,Glutes,,
db_rdl,DB RDL,Glutes,,Glutes,,
glute_ham_raise,Glute-Ham Raise,Glutes,,Glutes,,
snatch_grip_rdl,Snatch-Grip RDL,Glutes,,Glutes,,
hip_thrusts,Hip Thrusts,Glutes,,Glutes,,

lying_leg_curl,Lying Leg Curl,Hamstrings,,Hamstrings,,
nordic_ham_curl,Nordic Ham Curl,Hamstrings,,Hamstrings,,
seated_leg_curl,Seated Leg Curl,Hamstrings,,Hamstrings,,
db_stiff_leg_dl,DB stiff leg DL,Hamstrings,,Hamstrings,,

highbar_back_squat,High-Bar Back Squat,Quads,,Quads,,
reverse_nordic,Reverse Nordic,Quads,,Quads,,
seated_leg_extension,Seated Leg Extension,Quads,,Quads,,
sissy_squat,Sissy Squat,Quads,,Quads,,
smith_machine_squat,Smith Machine Squat,Quads,,Quads,,
bb_bulgarian_split_squat,BB Bulgarian Split Squat,Quads / Glutes,,Quads / Glutes,,
db_bulgarian_split_squat,DB Bulgarian Split Squat,Quads / Glutes,,Quads / Glutes,,
db_step_up,DB Step-Up,Quads / Glutes,,Quads / Glutes,,
db_walking_lunge,DB Walking Lunge,Quads / Glutes,,Quads / Glutes,,
elevated_bb_split_squat,Elevated BB Split Squat,Quads / Glutes,,Quads / Glutes,,
goblet_squat,Goblet Squat,Quads / Glutes,,Quads / Glutes,,
hack_squat,Hack Squat,Quads / Glutes,,Quads / Glutes,,
leg_press,Leg Press,Quads / Glutes,,Quads / Glutes,,
belt_squat,Belt Squat,Quads / Glutes,,Quads / Glutes,,
smith_machine_static_lunge,Smith Machine Static Lunge,Quads / Glutes,,Quads / Glutes,,
walking_lunge,Walking Lunge,Quads / Glutes,,Quads / Glutes,,

1arm_45_cable_rear_delt_flye,1-Arm 45° Cable Rear Delt Flye,Shoulders,,Rear Delts,,
barbell_overhead_press,Barbell Overhead Press,Shoulders,,Delts,,
cable_shoulder_press,Cable Shoulder Press,Shoulders,,Delts,,
highcable_cuffed_lateral_raise,High-Cable Cuffed Lateral Raise,Shoulders,,Medial Delts,,
highcable_lateral_raise,High-Cable Lateral Raise,Shoulders,,Medial Delts,,
leanin_db_lateral_raise,Lean-In DB Lateral Raise,Shoulders,,Medial Delts,,
machine_shoulder_press,Machine Shoulder Press,Shoulders,,Delts,,
reverse_pec_deck,Reverse Pec Deck,Shoulders,,Rear Delts,,
rope_face_pull,Rope Face Pull,Shoulders,,Rear Delts,,
seated_db_shoulder_press,Seated DB Shoulder Press,Shoulders,,Delts,,
